"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","455000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","335199","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","440000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","410000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","370000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","395000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","275000","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","335000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","210000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","286000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","325000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","260000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","255000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","269400","","r","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","290900","","r","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","273000","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","314000","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","12199800","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","9455900","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","9579800","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","11702200","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","12894600","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","13269600","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","13055339","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","15771000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","16163200","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","16529700","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","17585900","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","18989680","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","22176000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20445800","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20899600","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20784700","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20784044","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","23014100","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","22813200","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","21180900","","r","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","20782600","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","22478500","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","730000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","1200000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","475000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","155000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","115000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","195000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","318919","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","430000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","110000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","105000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","205000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","117538","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","200000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","180000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","170000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","115000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","143000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","160000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","442900","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","391900","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","297800","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","185500","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2980000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3198000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3211000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3125300","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2927800","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2750600","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2701000","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3439000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","2980100","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3040900","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3079800","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3191816","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3564100","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3709100","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3157100","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3359000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3588290","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3575500","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3626500","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3695200","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3559200","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","3470100","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1727000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1750000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1335000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1269000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1825000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1984000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1400000","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1435000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","1745000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2405000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3445000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2557775","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2505000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","2720000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3120000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4035000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","5568500","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4405000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3768100","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","3780500","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4232800","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","4305700","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","525000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","410000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","715000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","840000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","738000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","480000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","330726","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","460000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","470000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","525000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","470000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","327958","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","335000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","365000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","500000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","345000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","510000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","385000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","503800","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","398600","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","256400","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","305500","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4511200","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4713000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5796800","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5024100","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4754800","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4368500","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5099129","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","5312700","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","4300000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3696500","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","2989200","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3244401","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","2947700","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3227300","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","2895900","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3360200","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3045059","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3200300","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3052600","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3595800","","r","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3839100","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","3422700","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2641000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2672700","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2546100","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2601600","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3022200","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2897100","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2998369","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2900900","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","2971300","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3518000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3738800","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","3851662","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","4192000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","4633200","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5613000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5532000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5607397","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","7282000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","6320100","","","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5714300","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5070300","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","5321200","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","185000","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","180000","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","246000","","","","0"
"2003","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","268000","","","","0"
"2004","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","200000","","","","0"
"2005","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","215000","","","","0"
"2006","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","190230","","","","0"
"2007","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","198000","","","","0"
"2008","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","160000","","","","0"
"2009","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","160000","","","","0"
"2010","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","135000","","","","0"
"2011","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","35000","","","","0"
"2012","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","100000","","","","0"
"2013","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","70000","","","","0"
"2014","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","75000","","","","0"
"2015","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","100000","","","","0"
"2016","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","70000","","","","0"
"2017","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","65000","","","","0"
"2018","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","70900","","r","","0"
"2019","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","76300","","","","0"
"2020","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","111900","","","","0"
"2021","Canada","2016A000011124","Seeded area (acres)","Sunflower seed","Acres","28","units","0","v54529209","1.1.31","77400","","","","0"
"2000","Canada","2016A000011124","Seeded area (acres)","Wheat, all including winter wheat remaining","Acres","28","units","0","v20145108","1.1.24","27297600","","","","0"
"2001","Canada","2016A000011124","Seeded area (acres)","Wheat, all including winter wheat remaining","Acres","28","units","0","v20145108","1.1.24","26971700","","","","0"
"2002","Canada","2016A000011124","Seeded area (acres)","Wheat, all including winter wheat remaining","Acres","28","units","0","v20145108","1.1.24","25530500","","","","0"
